placebo,welfare,discounted_effort,misconduct_events,repeat_misconduct,prediction_mse
baseline,-0.26520906159656527,1.6256682723301357,0.4999267758932214,0.0,0.061665855285130036
alpha_zero,-0.6408721000456213,0.0,0.4999267758932214,0.0,0.0393732486267432
no_misconduct,0.344082010076126,1.240866548046875,0.0,0.0,0.05034105207054788
effort_independent,-0.6408721000456213,0.0,0.4999267758932214,0.0,0.0393732486267432
no_repeat_misconduct,-0.26520906159656527,1.6256682723301357,0.4999267758932214,0.0,0.061665855285130036
