r0,phi,effort,reputation,A_prime,A_second,attenuation,relocation,soc_denominator,de_dphi
-1.5,0.05,0.8663000000000001,0.8327483700000001,0.63164685203016,-2.883554395939013,-0.0037898811121809613,0.04035964090159841,4.16373685374099,0.015060508817352939
-1.5,0.06,0.8665,0.8326960288,0.6317977922004261,-2.8839927729716983,-0.0054587329246116815,0.058125414141495205,4.163641892536294,0.021690191891512146
-1.5,0.07,0.86675,0.8325996438000001,0.6320758047403265,-2.884799836996106,-0.007433211463746241,0.07913401692920624,4.163723301790441,0.02952860871399122
-1.5,0.08,0.8671000000000001,0.8324851558400002,0.6324061344498728,-2.8857581519960616,-0.009713758225150047,0.10338797649216132,4.163704303382003,0.03857811555995613
-1.5,0.09,0.86755,0.8323384848400002,0.6328294814864704,-2.88698532628437,-0.012302205120096985,0.1308978205234976,4.163675488787108,0.04884190231939068
-1.5,0.09999999999999999,0.8681000000000001,0.8321455200000002,0.6333867238489143,-2.8885989290939507,-0.01520128137237394,0.1616791932375181,4.163727050791384,0.0603240789578213
-1.5,0.10999999999999999,0.86875,0.8318921150000002,0.6341189775836416,-2.890716372435015,-0.018414815109028947,0.19575395630051912,4.163948499584457,0.07302979188826536
-1.5,0.12,0.86955,0.8316040140800001,0.6349521421535657,-2.8931215556160916,-0.02194394603282723,0.23312841404414472,4.164063906158196,0.0869651798539542
-1.5,0.13,0.8705,0.8312669292000001,0.6359278435754636,-2.8959327134726838,-0.02579323333542081,0.27382835417619167,4.164163111342242,0.10213774342874339
-1.5,0.13999999999999999,0.8716,0.8308665036800001,0.6370881168415689,-2.899267920745178,-0.029968625016227397,0.3178872168972345,4.164334976256685,0.11855636211853224
-1.5,0.14999999999999997,0.87285,0.830388305,0.6384754940890015,-2.9032448973978426,-0.03447767668080606,0.36534714959413017,4.164666947001615,0.13623140479134752
-1.5,0.15999999999999998,0.8743000000000001,0.8298576537600001,0.6400172738356007,-2.9076503485110043,-0.0393226613044593,0.41621983757944586,4.1648848931199645,0.15517462057238124
-1.5,0.16999999999999998,0.87595,0.82925984612,0.6417569704512005,-2.912603437621655,-0.044512263470495264,0.47055282189427305,4.1650767698325435,0.17539965958095527
-1.5,0.18,0.87785,0.8286198230400001,0.6436227977359019,-2.9178945199101833,-0.05004810875194373,0.5283533075220611,4.16497245037085,0.19692179224811687
-1.5,0.19,0.8799,0.8278430527200001,0.6458918203737365,-2.924299473144849,-0.055960067317180534,0.5897853568225228,4.165369797075401,0.21975885930271832
-1.5,0.19999999999999996,0.8822500000000001,0.8270336,0.6482615972450039,-2.9309541877827403,-0.06223311333552035,0.6547611720029898,4.165287480986132,0.24392973912079077
-1.5,0.20999999999999996,0.8848,0.8260966537600001,0.6510113425027224,-2.938631436397074,-0.06890304049048813,0.7234736330686068,4.165515351348348,0.26945643670716707
-1.5,0.21999999999999997,0.8876000000000001,0.8250563481600001,0.6540728370372804,-2.9471227152612185,-0.07597710075025048,0.7959546160597252,4.165779608816219,0.29636264044408966
-1.5,0.22999999999999998,0.89075,0.8239759158000002,0.65726175108578,-2.955904053864839,-0.0834459519178506,0.872145350492655,4.1654698345316294,0.32467460993105796
-1.5,0.24,0.8941,0.8227206092800001,0.6609786951983255,-2.9660575728929417,-0.09137369482421652,0.9523800188286732,4.165696094882442,0.35442110044955333
-1.5,0.24999999999999994,0.8978,0.8213925000000001,0.6649250449361229,-2.9767409475853928,-0.09973875674041839,1.0365276165251434,4.165504811992528,0.38563361940937746
-1.5,0.25999999999999995,0.90185,0.8199746275200002,0.6691537294368557,-2.9880775254716734,-0.10856350106383543,1.1246905185240361,4.16497711039943,0.4183465495739011
-1.5,0.26999999999999996,0.9062,0.8184104923200001,0.6738372125751744,-3.000498587604598,-0.11789455871215249,1.2170895408501141,4.164515885176532,0.45259632754196394
-1.5,0.27999999999999997,0.9109,0.8167218585600001,0.6789152060113608,-3.013805085803629,-0.12774468516309764,1.3137609902066212,4.163852917206492,0.4884229821541812
-1.5,0.29,0.91595,0.8148907563600001,0.6844469073284365,-3.028109012600543,-0.13814876377517163,1.4148462369789163,4.1630471660887824,0.525868889982553
-1.5,0.3,0.9214,0.81293776,0.6903755709884577,-3.043216417344455,-0.14912112333350688,1.5203743553220286,4.161835739970632,0.5649806062670099
-1.5,0.30999999999999994,0.92725,0.8108437962,0.6967647621875123,-3.0592373715645427,-0.16070182475092779,1.630490959880874,4.160272699356534,0.6058066625906255
-1.5,0.31999999999999995,0.93355,0.8086280268800001,0.7035619189843724,-3.075983165398773,-0.1729073772095993,1.7452157204522596,4.158101271128607,0.6484006895877171
-1.5,0.32999999999999996,0.94025,0.8062315086000001,0.7109550254292544,-3.0938455439025945,-0.18581520544618987,1.8648360285268473,4.155660287196479,0.6928143200848297
-1.5,0.33999999999999997,0.9474,0.80367215232,0.7188973750534969,-3.1126233232703364,-0.19945088773484215,1.9893734407378618,4.152675833827093,0.7391064991782174
-1.5,0.3499999999999999,0.9550500000000001,0.8009667850000001,0.7273446237484662,-3.1321227161387846,-0.21383931938204898,2.1188316388955215,4.148885543208582,0.7873404908055092
-1.5,0.35999999999999993,0.9631500000000001,0.7980547788800001,0.7364954407203648,-3.1526916821008566,-0.22907954188166216,2.2535028982938425,4.144572135042695,0.8375725737904246
-1.5,0.36999999999999994,0.9718,0.7949894116800001,0.7461921619224847,-3.17385168489213,-0.24516889672125156,2.3932165869972137,4.139188381672445,0.8898760909771488
-1.5,0.37999999999999995,0.9809500000000001,0.7917085692800002,0.7566414282049305,-3.1959127484770833,-0.2622216533587007,2.53824031514934,4.132975212595119,0.9443083492036976
-1.5,0.38999999999999996,0.9907,0.7882629733600001,0.7676921938448741,-3.2183967220191882,-0.28023835844113276,2.6883509707136946,4.1253963965582825,1.0009489282870752
-1.5,0.3999999999999999,1.0,0.7838400000000001,0.7819889672644775,-3.2461740783161797,-0.30028376342955926,2.846877007496303,4.121075599927332,1.0596191842101728
-1.5,0.4099999999999999,1.0,0.7718327600000001,0.8213891951025656,-3.3148584774929315,-0.331381256872179,3.038227599621592,4.1536888315485765,1.1174560624222516
-1.5,0.41999999999999993,1.0,0.7592252800000002,0.8635743669832655,-3.3750421064061777,-0.36560284400603527,3.228111722404861,4.175407061551313,1.1755709148536784
-1.5,0.42999999999999994,1.0,0.74600292,0.9085359159828383,-3.4230394954378336,-0.4031718980765443,3.4116964180922555,4.182978286925872,1.2333000715832696
-1.5,0.43999999999999995,1.0,0.7321510400000002,0.9561924226036541,-3.454407325839432,-0.4442852472385618,3.5827270175988053,4.172647594529863,1.28974299981151
-1.5,0.4499999999999999,1.0,0.7176550000000002,1.006366829795656,-3.4638900806869577,-0.4890942792806886,3.733312594246514,4.140170309169953,1.3436701730038147
