policy_class,parameters,mean_welfare,mean_gain_over_p0
P0_constant,1,-0.39203162890551346,0.0
P1_two_state,2,-0.20408944730248002,0.18794218160303344
P2_three_state,3,-0.0874770592660225,0.3045545696394909
P3_threshold,4,0.7245536084039692,1.1165852373094824
